Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,33pF,C5137486
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C5, C6, C7, C8, C9",0402,16,15pF,C1548
"C21, C23, C24, C25, C26, C27, C30, C31, C32, C34, C35, C358, C359, C36, C360, C361, C38, C4",0402,18,100nF,C60474
"C28, C29, C33, C37, C39, C40, C41",0402,7,4.7uF,C380302
"D1, D2, D3",0402,3,LED,C51933306
F2,0805,1,1A@12V,C46640991
J1,USB_C_Receptacle_SHOU-HAN_24P-QT,1,USB_C_Receptacle,C2681555
J2,PinHeader_2x20_P1.27mm_Horizontal,1,Conn_02x20,C2881906
J3,PinHeader_2x04_P1.27mm_Horizontal,1,Conn_02x04,C2881890
"J4, J5",PinHeader_2x15_P2.54mm_Vertical,2,Conn_02x15,C56496
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R23, R24, R25, R29, R3, R4, R5, R6, R7, R8, R9",0402,20,1k,C106235
"R18, R19, R20, R30, R31, R32",0402,6,100R,C106232
"R21, R22, R26, R27, R28",0402,5,5.1k,C105872
"R97, R98",0402,2,2.2R,C54920775
"RN1, RN2, RN3, RN4",R_Array_Convex_4x0603,4,100k,C110374
"SW1, SW2",SW_Push_SPST_TSA016,2,SW_Push,C2888427
U1,QFN-88-1EP_10x10mm_P0.4mm_EP5.7x5.7mm_ThermalVias,1,CH32H417MxUx,C54973456
"U16, U22, U23",USON-10_2.5x1.0mm_P0.5mm,3,TPD4EUSB30,C558427
U2,SOT-89-3,1,AMS1117-3.3,C347256
U3,SOT-353_SC-70-5,1,LMV321,C3029047
U5,DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm,1,TMUXHS4212,C2869871
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,25MHz 20pF,C37635326
